Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Updated On
Global Multispeciality Hospital- Dighi,,7796696655,2 ,2,N/A, 0,N/A,, -,TB,03-05 03:11:31
Nandedkar Multispeciality Hospital- Thergaon,,9960889451,8 ,12,N/A, 0,N/A,, -,TB,03-05 03:11:35
